origin_city_name,Category,origin_store_name,Origin Lat Long,origin_loccode,destination_store_name,destination_city_name,DH Lat Long,destination_loccode,Inter/Intra Movement,Final Veh Restiction,Milk Run Pairs,Shift,OTR,MH Dock In,MH Dock Out,MH Out,TT (Primary),DH In,To be removed,DH Out,MH In,Arrival Delta,TT (secondary),Final TT,Source-Destination City Lane,Source MH-Destination City Lane,via,LHIC Distance,Freqency,"Primary 
MH Cut Off","Secondary
MH Cut Off","DH Cut off (D, D+1, D+2, D+3)",Distance (One - way),MH-DH THOR,MH-DH THOR Duplicate Key,Secondary Veh,Effective,Remarks,Planned Vehicles,"DH Out Cut off (D, D+1, D+2, D+3)","Primary 
MH In Cut Off",unique store ID,Key final,check,TT,DO,dh in,1,D,2,GH_Distance_km,GH_Travel_Time_mins
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-BROOKEFIELD,Bengaluru,"12.98497,77.71066",BLR086S,Intra,20FT_TRUCK,1.0,Day,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:15:00 AM,2:55:00,11:10:00 AM,,12:10:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,2:05:00,,,,,,49.63859565,60.92520833333333
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Brookfield Network-2,Bengaluru,"12.9951836,77.7201213",BLR129S,Intra,20FT_TRUCK,1.0,Day,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:15:00 AM,4:25:00,12:40:00 PM,,1:40:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,3:05:00,,,,,,49.6312908,61.12160416666667
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-HSR Layout New,Bengaluru,"12.9118326596571,77.6439838767151",BLR094S,Intra,14FT_TRUCK,2.0,Night,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:15:00 PM,5:55:00,2:10:00 AM,,3:10:00 AM,,,,3:45:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,68.0,Daily,D,,D+1,65.0,BLR271M-BLR094S,0.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-HSR Layout New,0,3:45:00,1:10:00 AM,12:40:00 AM,,,,47.18747355000001,58.85825
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-HSR-2,Bengaluru,"12.899316,77.651296",BLR082S,Intra,14FT_TRUCK,2.0,Night,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:15:00 PM,2:55:00,11:10:00 PM,,12:10:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,1:55:00,,,,,,49.501426800000004,61.129083333333334
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-HSR-3,Bengaluru,"12.905778,77.637514",BLR080S,Intra,17FT_TRUCK,2.0,Night,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:15:00 PM,4:25:00,12:40:00 AM,,1:40:00 AM,,,,2:50:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,67.0,Daily,D,,D+1,64.0,BLR271M-BLR080S,1.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-HSR-3,0,2:50:00,12:15:00 AM,11:30:00 PM,,,,47.24224470000001,58.89602083333333
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-KOTHNUR New,Bengaluru,"12.870096566,77.5837238277",BLR257S,Intra,20FT_TRUCK,2.0,Day,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:15:00 AM,3:00:00,11:15:00 AM,,12:15:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,1:25:00,,,,,,53.8616484,52.712624999999996
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Sunrise Layout,Bengaluru,"12.84495985,77.59398467",BLR118S,Intra,20FT_TRUCK,2.0,Day,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:15:00 AM,4:30:00,12:45:00 PM,,1:45:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,2:20:00,,,,,,52.11267810000001,50.29339583333333
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Yelenahalli,Bengaluru,"12.86077262,77.61333628",BLR206S,Intra,20FT_TRUCK,2.0,Day,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:15:00 AM,6:00:00,2:15:00 PM,,3:15:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,3:25:00,,,,,,55.96771845,55.581895833333334
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Agrahara Road,Bengaluru,"12.931722,77.682389",BLR188S,Intra,14FT_TRUCK,3.0,Night,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:15:00 PM,5:55:00,2:10:00 AM,,3:10:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D+1,,,,1,,,1.0,,,,,,3:40:00,,,,,,51.0022443,63.70647916666667
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-BELLANDUR - 2,Bengaluru,"12.91910594,77.69695312",BLR084S,Intra,20FT_TRUCK,3.0,Night,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:15:00 PM,2:55:00,11:10:00 PM,,12:10:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,1:45:00,,,,,,52.757540850000005,66.0785625
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Bellandur new,Bengaluru,"12.928560976,77.6706643623",BLR074S,Intra,20FT_TRUCK,3.0,Night,7:00:00 PM,7:30:00 PM,8:00:00 PM,8:15:00 PM,4:25:00,12:40:00 AM,,1:40:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D+1,,,,1,,,1.0,,,,,,2:45:00,,,,,,49.57118145,61.81133333333334
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Marathahalli New,Bengaluru,"12.95188627,77.71964524",BLR055S,Intra,20FT_TRUCK,3.0,Day,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:15:00 AM,4:30:00,12:45:00 PM,,1:45:00 PM,,,,3:45:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,56.0,Daily,D,,D,54.0,BLR271M-BLR055S,1.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Marathahalli New,0,3:45:00,1:10:00 PM,12:10:00 PM,,,,51.276382500000004,63.62652083333334
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Marathahalli-4,Bengaluru,"12.94915445,77.70329588",BLR144S,Intra,20FT_TRUCK,3.0,Day,7:00:00 AM,7:30:00 AM,8:00:00 AM,8:15:00 AM,3:00:00,11:15:00 AM,,12:15:00 PM,,,,2:45:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,53.0,Daily,D,,D,51.0,BLR271M-BLR144S,1.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Marathahalli-4,0,2:45:00,12:10:00 PM,11:10:00 AM,,,,50.4532476,63.0225625
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-CV Raman Nagar Network,Bengaluru,"12.996864,77.673218",BLR016S,Intra,20FT_TRUCK,4.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,5:55:00,2:40:00 PM,,3:50:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,17:10:00,,,,,,44.6300631,54.83325
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-CV Raman Nagar Network-2,Bengaluru,"12.96657501,77.67172065",BLR114S,Intra,14FT_TRUCK,4.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,2:55:00,11:40:00 AM,,12:40:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,14:45:00,,,,,,44.764613250000004,56.200645833333326
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-CV RAMAN NAGAR NEW,Bengaluru,"12.979059012726,77.6783686576707",BLR091S,Intra,20FT_TRUCK,4.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,4:25:00,1:10:00 PM,,2:10:00 PM,,,,16:05:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,49.0,Daily,D,,D,46.0,BLR271M-BLR091S,0.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-CV RAMAN NAGAR NEW,0,16:05:00,2:00:00 AM,1:00:00 AM,,,,45.418110150000004,56.064229166666664
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Hennur New,Bengaluru,"13.03859871,77.64591263",BLR229S,Intra,17FT_TRUCK,4.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,2:25:00,11:10:00 PM,,12:10:00 AM,,,,1:40:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,39.0,Daily,D,,D,37.0,BLR271M-BLR229S,1.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Hennur New,0,1:40:00,11:35:00 PM,10:35:00 PM,,,,38.546319000000004,48.86814583333333
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Kogilu Road,Bengaluru,"13.10307433,77.63013442",BLR154S,Intra,14FT_TRUCK,4.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,5:25:00,2:10:00 AM,,3:10:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D+1,,,,1,,,1.0,,,,,,3:10:00,,,,,,33.78125415,42.5423125
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Nikoo Home New,Bengaluru,"13.0797707388,77.6437555377",BLR119S,Intra,20FT_TRUCK,4.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,3:55:00,12:40:00 AM,,1:40:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D+1,,,,1,,,1.0,,,,,,2:05:00,,,,,,37.6909512,48.092937500000005
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-BTM LAYOUT NEW,Bengaluru,"12.9266331,77.60991496",BLR036S,Intra,17FT_TRUCK,5.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,3:00:00,11:45:00 AM,,12:45:00 PM,,,,14:35:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,43.0,Daily,D,,D,41.0,BLR271M-BLR036S,1.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-BTM LAYOUT NEW,0,14:35:00,12:30:00 AM,11:30:00 PM,,,,42.51574635,51.63185416666667
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-BTM-2,Bengaluru,"12.9117795419901,77.6031987740639",BLR043S,Intra,20FT_TRUCK,5.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,4:30:00,1:15:00 PM,,2:15:00 PM,,,,15:35:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,59.0,Daily,D,,D,56.0,BLR271M-BLR043S,0.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-BTM-2,0,15:35:00,1:30:00 AM,12:30:00 AM,,,,43.87400115,53.25972916666666
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-BTM-3,Bengaluru,"12.89932425,77.60549641",BLR029S,Intra,17FT_TRUCK,5.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,6:00:00,2:45:00 PM,,3:45:00 PM,,,,16:35:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,58.0,Daily,D,,D,56.0,BLR271M-BLR029S,0.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-BTM-3,0,16:35:00,2:30:00 AM,1:30:00 AM,,,,45.813095999999994,55.79985416666666
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Whitefield Network-2,Bengaluru,"12.9718703612,77.7349202021",BLR098S,Intra,20FT_TRUCK,5.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,2:55:00,11:40:00 PM,,12:40:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,14:05:00,,,,,,53.258987250000004,65.95366666666666
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Whitefield New,Bengaluru,"12.96902, 77.75395",BLR262S,Intra,14FT_TRUCK,5.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,4:25:00,1:10:00 AM,,12:10:00 AM,,,,3:15:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,59.0,Daily,D,,D+1,56.0,BLR271M-BLR262S,0.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Whitefield New,0,3:15:00,1:10:00 AM,12:25:00 PM,,,,55.186687500000005,67.3706875
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Hope Farm New,Bengaluru,"12.98416,77.767",BLR255S,Intra,14FT_TRUCK,6.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,3:00:00,11:45:00 AM,,12:45:00 PM,,,,2:40:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,56.0,Daily,D,,D,54.0,BLR271M-BLR255S,1.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Hope Farm New,0,2:40:00,12:35:00 PM,11:35:00 AM,,,,54.77510010000001,66.99070833333334
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Kannamangala,Bengaluru,"13.01745885,77.7593783",BLR014S,Intra,20FT_TRUCK,6.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,6:00:00,2:45:00 PM,,3:45:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,4:50:00,,,,,,57.3197394,70.39439583333333
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Margosa Road,Bengaluru,"13.0059977,77.5695793",BLR139S,Intra,8FT_TRUCK,6.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,3:35:00,12:20:00 AM,,1:20:00 AM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D+1,,,,1,,,1.0,,,,,,2:05:00,,,,,,29.964816000000003,34.98833333333333
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Mathikere,Bengaluru,"13.0265,77.558028",BLR140S,Intra,14FT_TRUCK,6.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,1:55:00,10:40:00 PM,,11:40:00 PM,,,,1:05:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,29.0,Daily,D,,D,28.0,BLR271M-BLR140S,1.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Mathikere,0,1:05:00,11:00:00 PM,10:00:00 PM,,,,28.6602792,33.31514583333333
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Nagondanahalli,Bengaluru,"12.97486139,77.7718582",BLR197S,Intra,20FT_TRUCK,6.0,Day,7:30:00 AM,8:00:00 AM,8:30:00 AM,8:45:00 AM,4:30:00,1:15:00 PM,,2:15:00 PM,,,,,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,,,,D,,D,,,,1,,,1.0,,,,,,3:35:00,,,,,,56.04460995,68.95529166666667
Bengaluru,Cold,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA,"13.134889, 77.407806",BLR271M,BLR-Yallapa Garden,Bengaluru,"12.983662,77.5487921",BLR125S,Intra,10FT_TRUCK,6.0,Night,7:30:00 PM,8:00:00 PM,8:30:00 PM,8:45:00 PM,5:05:00,1:50:00 AM,,2:50:00 AM,,,,3:10:00,Bengaluru-Bengaluru,KTPL_BLR-COLD-FMCG-MH-NELAMANGLA-Bengaluru,Direct,32.0,Daily,D,,D+1,31.0,BLR271M-BLR125S,0.0,1,2-Sep,,1.0,,,1,KTPL_BLR-COLD-FMCG-MH-NELAMANGLABLR-Yallapa Garden,0,3:10:00,1:05:00 AM,12:45:00 AM,,,,31.91490015,37.02377083333333
